joint_nr,angle,x_pos,y_pos
0,0.0,-38.0,-7.8
1,0.0,14.999016634433072,7.467447353982769e-16
2,0.0,-26.948764789136696,-45.514918802964104
3,0.0,-24.010199848421298,31.272664251608035
4,0.0,-74.7973047951601,8.148381103174296
5,0.0,-59.23149644320517,-28.052088649996172
6,0.0,-43.1676474597599,-91.75410397005543
7,0.0,38.0,-7.8
8,0.0,14.999016634433072,3.623093089526339e-15
9,0.0,65.29713201172991,-36.07386574089869
10,0.0,54.924697737445484,30.09382807920186
11,0.0,75.60545533211722,-21.736363559556587
12,0.0,96.75244008323126,-54.986528011841095
13,0.0,33.73549384971937,-73.55689385527481
0,10.0,-38.0,-7.8
1,10.0,14.771147869148765,2.6045519053652786
2,10.0,-24.9459944245409,-44.86936522839153
3,10.0,-25.77309722137486,31.859682908995236
4,10.0,-75.4742691366365,6.485364982209349
5,10.0,-57.94829492345562,-28.807816057177266
6,10.0,-39.16589372333175,-91.7618898344761
7,10.0,38.0,-7.8
8,10.0,14.771147869148765,2.604551905365278
9,10.0,58.1670926602074,-41.53178432332069
10,10.0,57.25449428724994,28.964820817491535
11,10.0,74.66333553221087,-24.053994206118197
12,10.0,89.57039695695683,-60.53067058715451
13,10.0,26.50274152981033,-78.92808450832257
0,20.0,-38.0,-7.8
1,20.0,14.094465250421848,5.129965819052888
2,20.0,-23.253742132927176,-44.22928463362674
3,20.0,-27.793156505219976,32.426955463632424
4,20.0,-76.148371045637,4.573127598323856
5,20.0,-57.03942611483752,-29.888686393857007
6,20.0,-35.03978021604004,-91.79191393756044
7,20.0,38.0,-7.8
8,20.0,14.094465250421846,5.129965819052893
9,20.0,50.16498168442822,-45.170551516100595
10,20.0,58.36682579168147,28.36047575974766
11,20.0,74.15054981124048,-25.164626352012895
12,20.0,81.77388766727768,-63.82537026535236
13,20.0,18.910898822390696,-82.91040716570453
0,30.0,-38.0,-7.8
1,30.0,12.989529437204414,7.499508317216536
2,30.0,-21.878505100223602,-43.641907066958424
3,30.0,-30.054479067772537,32.9339698177766
4,30.0,-76.77954484394519,2.4244511684708097
5,30.0,-56.457285963687625,-31.336090799983914
6,30.0,-30.81490238261255,-91.82131349347337
7,30.0,38.0,-7.8
8,30.0,12.989529437204414,7.499508317216535
9,30.0,42.65793096226095,-46.82369253608392
10,30.0,58.447353116428566,28.315001737949267
11,30.0,74.11176573983903,-25.24513901208553
12,30.0,74.74402347677996,-64.64524878546152
13,30.0,12.401805943951642,-85.3682290993433
0,40.0,-38.0,-7.8
1,40.0,11.48991334505657,9.641182050095875
2,40.0,-20.826282062551858,-43.149799323404544
3,40.0,-32.533505377688684,33.34006607364943
4,40.0,-77.32710036878309,0.05949594971974386
5,40.0,-56.14643686812137,-33.1692249656531
6,40.0,-26.541016140448978,-91.81658691431628
7,40.0,38.0,-7.8
8,40.0,11.48991334505657,9.64118205009588
9,40.0,36.30396018298371,-47.06408472050629
10,40.0,57.70025476463578,28.727901147047103
11,40.0,74.46291962271542,-24.49874224567212
12,40.0,69.10254968635888,-63.53763098684154
13,40.0,7.674813228500425,-86.83199068321194
0,50.0,-38.0,-7.8
1,50.0,9.641182050095876,11.48991334505657
2,50.0,-20.105508565677837,-42.79045693195462
3,50.0,-35.19781082150895,33.606947917082074
4,50.0,-77.75206892071907,-2.49288058148297
5,50.0,-56.054101147766055,-35.38614120617465
6,50.0,-22.291455534653284,-91.74284232683426
7,50.0,38.0,-7.8
